year,avg_temp,avg_temp_louisville,avg_temp_10y_avg,avg_temp_louisville_10y_avg,avg_temp_25y_avg,avg_temp_louisville_25y_avg,avg_temp_100y_avg,avg_temp_louisville_100y_avg,avg_temp_100y_delta,avg_temp_louisville_100y_delta
1794,8.53,13.25,8.149000000000004,12.875,8.257599999999998,12.426249999999998,8.145777777777777,12.360681818181819,-0.01305050505050508,-0.02930268595041322
1795,8.35,12.96,8.248000000000005,12.955000000000002,8.283999999999997,12.441666666666665,8.150217391304347,12.374,-0.01266183574879231,-0.02835555555555555
1796,8.27,12.79,8.249000000000004,12.964000000000002,8.300799999999999,12.412916666666666,8.152765957446807,12.38304347826087,-0.012331174838112911,-0.027542533081285448
1797,8.51,12.68,8.297000000000004,12.959000000000003,8.313599999999997,12.389999999999999,8.160208333333332,12.389361702127658,-0.011910460992907854,-0.026822091444092384
1798,8.67,13.44,8.319000000000004,12.979000000000003,8.331599999999998,12.392499999999998,8.170612244897958,12.41125,-0.011445578231292552,-0.02580729166666666
1799,8.51,13.11,8.337000000000005,12.992000000000004,8.321199999999997,12.40125,8.177399999999999,12.425510204081633,-0.011073469387755143,-0.024989587671803426
1800,8.48,13.02,8.387000000000004,13.005000000000006,8.293199999999995,12.365833333333333,8.183333333333332,12.4374,-0.010733333333333378,-0.024252000000000003
1801,8.59,13.38,8.423000000000005,13.035000000000005,8.304799999999995,12.397916666666665,8.191153846153846,12.455882352941176,-0.010369532428355982,-0.023414071510957344
1802,8.58,13.59,8.472000000000005,13.137000000000006,8.317599999999997,12.44083333333333,8.198490566037734,12.477692307692308,-0.010029027576197443,-0.022544378698224846
1803,8.5,13.46,8.499000000000004,13.168000000000006,8.315999999999997,12.585833333333328,8.204074074074073,12.496226415094341,-0.009734451432564665,-0.021769312922748286
1804,8.84,13.38,8.530000000000005,13.181000000000006,8.310399999999998,12.962083333333327,8.215636363636362,12.512592592592593,-0.009340067340067384,-0.021063100137174204
1805,8.56,13.6,8.551000000000005,13.245000000000005,8.275599999999997,12.987599999999995,8.221785714285712,12.532363636363637,-0.009058441558441611,-0.02032066115702478
1806,8.43,13.06,8.567000000000005,13.272000000000006,8.288799999999998,12.984799999999996,8.225438596491227,12.541785714285714,-0.008831453634085249,-0.01978954081632654
1807,8.28,12.84,8.544000000000006,13.288000000000006,8.303999999999997,12.992399999999996,8.226379310344825,12.547017543859651,-0.008660012099213606,-0.019350569405971043
